Uniprot ID	Uniprot gene ID	Gene name	Description	Color in plot	log2FC	Adjusted P value
Q8NC44	RETR2_HUMAN	RETREG2	Reticulophagy regulator 2 	blue	-0.38045145849301676	0.006730604857609204
Q8WWB7	GLMP_HUMAN	GLMP	Glycosylated lysosomal membrane protein 	blue	-0.6581178167594963	0.0462774379058145
P40306	PSB10_HUMAN	PSMB10	Proteasome subunit beta type-10 	blue	-0.2190976612583846	0.007116038548584307
E7EQY1	E7EQY1_HUMAN	FAM136A	Protein FAM136A 	red	0.9196136744924495	0.047471338399147175
Q8N3V7	SYNPO_HUMAN	SYNPO	Synaptopodin 	blue	-0.2647618714332829	0.004971533070616436
Q9H6S3	ES8L2_HUMAN	EPS8L2	Epidermal growth factor receptor kinase substrate 8-like protein 2 	blue	-0.4916008787610604	0.01241386824880565
Q9BUB7	TMM70_HUMAN	TMEM70	Transmembrane protein 70, mitochondrial 	blue	-0.3302712426484682	0.02613992162119163
Q00839	HNRPU_HUMAN	HNRNPU	Heterogeneous nuclear ribonucleoprotein U 	blue	-0.49798041441152563	0.029472651736724968
P11802	CDK4_HUMAN	CDK4	Cyclin-dependent kinase 4 	blue	-0.4092205407026448	0.033934533800307594
J3KNC0	J3KNC0_HUMAN	GTF2A1	Transcription initiation factor IIA subunit 1 	blue	-1.0392925809246485	0.00019153150764529914
C9JLU1	C9JLU1_HUMAN	POLR2H	DNA-directed RNA polymerases I, II, and III subunit RPABC3 (Fragment) 	blue	-0.3779897353759374	0.002058914301697642
A0A7I2V5J8	A0A7I2V5J8_HUMAN	NPM1	Nucleophosmin 	red	3.7664123271513823	0.020206581741333673
Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39 	blue	-0.3626997416184423	0.009992153970575682
P08572	CO4A2_HUMAN	COL4A2	Collagen alpha-2(IV) chain 	blue	-0.49720700991078814	0.0009876305893044193
O60551	NMT2_HUMAN	NMT2	Glycylpeptide N-tetradecanoyltransferase 2 	blue	-0.38411608301836786	0.04976909709689586
Q8IXQ6	PARP9_HUMAN	PARP9	Protein mono-ADP-ribosyltransferase PARP9 	red	0.5265730676318991	0.008604323349168058
P49411	EFTU_HUMAN	TUFM	Elongation factor Tu, mitochondrial 	blue	-0.3680206573612139	0.026668568547412327
A0A669KAX9	A0A669KAX9_HUMAN	NA	Ribosomal_L2_C domain-containing protein (Fragment) 	blue	-0.91283242970629	4.414152335159815e-05
P02533	K1C14_HUMAN	KRT14	Keratin, type I cytoskeletal 14 	blue	-0.34583231064626574	0.039504933937797804
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3 	blue	-0.20570629095397308	0.006433855060188359
Q8TEA8	DTD1_HUMAN	DTD1	D-aminoacyl-tRNA deacylase 1 	blue	-0.3516348095642563	0.047274038688494814
P50416	CPT1A_HUMAN	CPT1A	Carnitine O-palmitoyltransferase 1, liver isoform 	blue	-0.2820323323626468	0.04869104985191454
Q5W111	SPRY7_HUMAN	SPRYD7	SPRY domain-containing protein 7 	blue	-0.20523025117367588	0.012932809264515828
Q96DB5	RMD1_HUMAN	RMDN1	Regulator of microtubule dynamics protein 1 	blue	-0.5458617206246892	0.009755275439772311
A0A2R8Y600	A0A2R8Y600_HUMAN	NA	COMM domain-containing protein 	red	0.9798785372584682	0.00346207099104268
E7EMV2	E7EMV2_HUMAN	NEFM	160 kDa neurofilament protein 	red	1.9522204622724324	0.003925564555697066
Q9NR19	ACSA_HUMAN	ACSS2	Acetyl-coenzyme A synthetase, cytoplasmic 	red	0.28587507693506886	0.020206581741333673
P39060	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain 	blue	-0.3137650793397171	0.0023809449753802612
Q32P41	TRM5_HUMAN	TRMT5	tRNA (guanine(37)-N1)-methyltransferase 	blue	-0.43834134929569046	0.00962438956034891
Q8WZA0	LZIC_HUMAN	LZIC	Protein LZIC 	blue	-0.32377265691953205	0.007591830075356726
H0Y3Y9	H0Y3Y9_HUMAN	PSMD4	26S proteasome non-ATPase regulatory subunit 4 (Fragment) 	blue	-0.3011578757227351	0.04964616576630725
O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog 	red	0.6015380365665646	0.04535781880442716
P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5 	blue	-0.42662171014075767	0.004515085231774713
Q96AG4	LRC59_HUMAN	LRRC59	Leucine-rich repeat-containing protein 59 	blue	-0.2885256230829363	0.001300879488668437
Q86W56	PARG_HUMAN	PARG	Poly(ADP-ribose) glycohydrolase 	blue	-0.33605061099975764	0.0005864607813102005
P03905	NU4M_HUMAN	MT-ND4	NADH-ubiquinone oxidoreductase chain 4 	blue	-1.3635305979378796	7.29611444139353e-05
Q8NCS4	TM35B_HUMAN	TMEM35B	Transmembrane protein 35B 	blue	-0.6754941836023995	0.00483469860107384
Q8WVT3	TPC12_HUMAN	TRAPPC12	Trafficking protein particle complex subunit 12 	blue	-0.38050056509638885	0.00032622617790210753
Q92870	APBB2_HUMAN	APBB2	Amyloid beta precursor protein binding family B member 2 	red	0.7263794660914833	0.0006474162674963151
Q8N357	S35F6_HUMAN	SLC35F6	Solute carrier family 35 member F6 	blue	-0.4151280772752646	0.021969035325829427
A0A7I2V2T3	A0A7I2V2T3_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 	blue	-0.32879528726467555	0.001488313156649932
Q9HB40	RISC_HUMAN	SCPEP1	Retinoid-inducible serine carboxypeptidase 	red	0.2924018279099041	0.006929316939072623
Q8NBJ7	SUMF2_HUMAN	SUMF2	Inactive C-alpha-formylglycine-generating enzyme 2 	blue	-0.9017262387497578	0.02701055714325438
Q12846	STX4_HUMAN	STX4	Syntaxin-4 	blue	-0.3409601665538613	0.04371165164685815
P68402	PA1B2_HUMAN	PAFAH1B2	Platelet-activating factor acetylhydrolase IB subunit alpha2 	blue	-0.5480643304717283	0.004164582564525765
P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha 	blue	-0.7825584673203778	0.0005636021223809453
Q9UNS2	CSN3_HUMAN	COPS3	COP9 signalosome complex subunit 3 	blue	-0.30670735090675905	0.002147587964879865
Q9UNQ2	DIM1_HUMAN	DIMT1	Probable dimethyladenosine transferase 	red	0.6087307181009827	0.04901735714278286
Q14157	UBP2L_HUMAN	UBAP2L	Ubiquitin-associated protein 2-like 	blue	-0.3954548880412929	0.008278977979131404
A0A7I2YQA8	A0A7I2YQA8_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 	red	0.8688451912663169	0.027420374279405302
H0Y993	H0Y993_HUMAN	DEK	DEK oncogene (DNA binding), isoform CRA_b 	green	-0.18611112629246307	0.04357607165042087
O43347	MSI1H_HUMAN	MSI1	RNA-binding protein Musashi homolog 1 	red	0.8946834432555697	0.004395922897336862
O43731	ERD23_HUMAN	KDELR3	ER lumen protein-retaining receptor 3 	blue	-0.42055193406603486	0.0026136386507351265
Q96C36	P5CR2_HUMAN	PYCR2	Pyrroline-5-carboxylate reductase 2 	blue	-0.39842033635526874	0.030242456764967434
P08727	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19 	blue	-0.3478386763582897	0.001523203218246311
Q9NX40	OCAD1_HUMAN	OCIAD1	OCIA domain-containing protein 1 	blue	-0.5892514812650305	6.381958023225678e-05
Q9Y316	MEMO1_HUMAN	MEMO1	Protein MEMO1 	blue	-0.38199345159353015	0.004054870141993868
P03915	NU5M_HUMAN	MT-ND5	NADH-ubiquinone oxidoreductase chain 5 	blue	-0.37823047605196436	0.011373291173827096
F8WEA4	F8WEA4_HUMAN	KCNQ5	Potassium voltage-gated channel subfamily KQT member 5 	blue	-0.5265668878583813	0.0091580262187986
P07237	PDIA1_HUMAN	P4HB	Protein disulfide-isomerase 	blue	-0.5123212760546636	0.011060238684105477
Q16698	DECR_HUMAN	DECR1	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial 	blue	-0.254384926778636	0.007877537307832947
Q9H8Y8	GORS2_HUMAN	GORASP2	Golgi reassembly-stacking protein 2 	blue	-0.3084673408000995	0.014038830767215951
B4DR80	B4DR80_HUMAN	STK24	Serine/threonine-protein kinase 24 	blue	-0.3800193459903589	0.00021758410393819282
Q15126	PMVK_HUMAN	PMVK	Phosphomevalonate kinase 	blue	-0.5850983444517048	0.0366817869541279
P08133	ANXA6_HUMAN	ANXA6	Annexin A6 	blue	-0.3317395930879705	0.006287743226320766
Q14571	ITPR2_HUMAN	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2 	blue	-0.23185491549922332	0.006841406912909434
P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial 	blue	-0.38721707456926246	0.010302242828462281
H0YDU8	H0YDU8_HUMAN	PPP5C	Serine/threonine-protein phosphatase (Fragment) 	blue	-0.2921781940021049	0.0326098505786233
P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein 	green	-0.17415654209566256	0.015721262649976746
Q8IXM6	NRM_HUMAN	NRM	Nurim 	blue	-0.9647914355343197	0.00031536174514591687
P06576	ATPB_HUMAN	ATP5F1B	ATP synthase subunit beta, mitochondrial 	blue	-0.24378719913925195	0.00031536174514591687
P05023	AT1A1_HUMAN	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1 	blue	-0.6066681388534576	0.026480599887621616
Q6PJ69	TRI65_HUMAN	TRIM65	Tripartite motif-containing protein 65 	red	0.9960252778202676	0.0003435782628114743
Q9Y5Y2	NUBP2_HUMAN	NUBP2	Cytosolic Fe-S cluster assembly factor NUBP2 	green	-0.17060878438825	0.031168277059975973
Q13033	STRN3_HUMAN	STRN3	Striatin-3 	red	0.5071524121207052	0.03854324065234245
Q92520	FAM3C_HUMAN	FAM3C	Protein FAM3C 	blue	-0.5609283758561272	0.000903246510451229
P62736	ACTA_HUMAN	ACTA2	Actin, aortic smooth muscle 	red	2.4967016373889788	0.019059855226114975
P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit 	blue	-0.3397097210805562	8.373488818643684e-05
Q0JRZ9	FCHO2_HUMAN	FCHO2	F-BAR domain only protein 2 	blue	-0.5573611139940784	0.04056241716758865
Q15813	TBCE_HUMAN	TBCE	Tubulin-specific chaperone E 	blue	-0.5019595069259761	0.02306617192100573
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase 	blue	-0.5414775072528961	0.025657188498880136
P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase 	blue	-0.46631276375731723	7.230458997827608e-05
Q5JTZ9	SYAM_HUMAN	AARS2	Alanine--tRNA ligase, mitochondrial 	blue	-0.3677769028472113	0.004125053968296024
Q9Y547	IFT25_HUMAN	HSPB11	Intraflagellar transport protein 25 homolog 	blue	-0.5338469117600368	7.002074724361401e-05
Q9UI15	TAGL3_HUMAN	TAGLN3	Transgelin-3 	blue	-0.3174055675095051	0.03278669308254122
Q9Y4P1	ATG4B_HUMAN	ATG4B	Cysteine protease ATG4B 	blue	-0.5754650929715428	0.04215118049273505
Q92934	BAD_HUMAN	BAD	Bcl2-associated agonist of cell death 	blue	-0.5657751487458782	0.001945465746552555
P49458	SRP09_HUMAN	SRP9	Signal recognition particle 9 kDa protein 	blue	-0.4267793283822954	0.00018665638680096045
Q15459	SF3A1_HUMAN	SF3A1	Splicing factor 3A subunit 1 	blue	-1.011268699479519	0.0062093360585089435
Q01813	PFKAP_HUMAN	PFKP	ATP-dependent 6-phosphofructokinase, platelet type 	blue	-0.44889230065238905	0.002715619222063596
P24534	EF1B_HUMAN	EEF1B2	Elongation factor 1-beta 	blue	-0.7800230426303294	0.0007302049201321225
Q96JJ7	TMX3_HUMAN	TMX3	Protein disulfide-isomerase TMX3 	blue	-0.30062699067163834	0.013508983181273923
Q9Y265	RUVB1_HUMAN	RUVBL1	RuvB-like 1 	blue	-0.21346506927593012	0.021969035325829427
Q99622	C10_HUMAN	C12orf57	Protein C10 	blue	-0.3203065240808378	0.005345094043030947
Q8N612	FHI1B_HUMAN	FHIP1B	FHF complex subunit HOOK interacting protein 1B 	blue	-0.6951038802967595	0.004001968047391994
Q5SNT2	TM201_HUMAN	TMEM201	Transmembrane protein 201 	red	0.3511503677787964	0.04371165164685815
Q96A26	F162A_HUMAN	FAM162A	Protein FAM162A 	blue	-0.49813559526236695	0.0001743103256735098
P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta 	blue	-0.5111140329681092	0.00013826866195753228
K7EK43	K7EK43_HUMAN	TUBB6	Tubulin beta-6 chain (Fragment) 	blue	-0.46444524609545823	0.03354311852445625
P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4 	red	0.2874466540888889	0.04222283372621642
Q14689	DIP2A_HUMAN	DIP2A	Disco-interacting protein 2 homolog A 	blue	-0.47243191295293485	0.045618596480098306
P41214	EIF2D_HUMAN	EIF2D	Eukaryotic translation initiation factor 2D 	blue	-0.4154807161381733	0.007103897701522502
Q86UP2	KTN1_HUMAN	KTN1	Kinectin 	blue	-0.41331256744200395	0.013084270281671351
Q8IV08	PLD3_HUMAN	PLD3	5'-3' exonuclease PLD3 	blue	-0.9176484668734766	0.002839457524883177
Q96IU4	ABHEB_HUMAN	ABHD14B	Protein ABHD14B 	blue	-0.25646059099859464	0.024848982512497335
Q9UM47	NOTC3_HUMAN	NOTCH3	Neurogenic locus notch homolog protein 3 	blue	-0.20230688937346564	0.020883456087116333
A0A0G2JLB3	A0A0G2JLB3_HUMAN	GBA	Glucosylceramidase 	blue	-0.5025358616930102	0.00014370955858196318
Q7Z7L7	ZER1_HUMAN	ZER1	Protein zer-1 homolog 	red	0.2628683270907395	0.0490172613760182
Q9UBP4	DKK3_HUMAN	DKK3	Dickkopf-related protein 3 	blue	-0.2780175897682273	0.043549856254927403
P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase 	blue	-0.28017828838221703	0.035487312312275844
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11 	red	0.43277006429718234	0.044074661019007574
Q9BV20	MTNA_HUMAN	MRI1	Methylthioribose-1-phosphate isomerase 	blue	-0.4478150515381003	3.3302046333172976e-05
P51970	NDUA8_HUMAN	NDUFA8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 	blue	-0.46816433110898714	0.01696450802286712
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4 	blue	-0.3075802367311695	0.020420698987089418
H7C0W7	H7C0W7_HUMAN	FAM126A	Hyccin 	blue	-9.069119776500312	0.02330660806511104
Q9NX63	MIC19_HUMAN	CHCHD3	MICOS complex subunit MIC19 	blue	-0.32771568340150736	0.002715619222063596
Q9UIJ7	KAD3_HUMAN	AK3	GTP:AMP phosphotransferase AK3, mitochondrial 	blue	-0.5796524885924512	0.0006583073747052187
K7EKI1	K7EKI1_HUMAN	RHBDF2	Inactive rhomboid protein 2 (Fragment) 	blue	-0.583371107592523	0.03697078134727289
Q9Y296	TPPC4_HUMAN	TRAPPC4	Trafficking protein particle complex subunit 4 	blue	-0.3748965006086742	0.001062245581363246
Q86SK9	SCD5_HUMAN	SCD5	Stearoyl-CoA desaturase 5 	blue	-0.5559966288948512	0.021657873194235303
A0A087X0R6	A0A087X0R6_HUMAN	SNX12	Sorting nexin-12 	blue	-0.637317763925429	0.0002930825130039508
P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein 	blue	-0.22661003562264348	0.002800712044702047
Q8NDI1	EHBP1_HUMAN	EHBP1	EH domain-binding protein 1 	red	0.796656006515299	2.6162901880155997e-05
P06493	CDK1_HUMAN	CDK1	Cyclin-dependent kinase 1 	blue	-0.9648642666512757	0.005688722767560033
Q9NVA4	T184C_HUMAN	TMEM184C	Transmembrane protein 184C 	red	0.9823900439905966	0.013737411067996285
Q69YQ0	CYTSA_HUMAN	SPECC1L	Cytospin-A 	orange	0.19795680220831713	0.007182087831118267
P40855	PEX19_HUMAN	PEX19	Peroxisomal biogenesis factor 19 	blue	-0.8159596841606209	0.009310338294456362
P05198	IF2A_HUMAN	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1 	blue	-0.4892624611195391	0.0041797570790950015
Q9Y2V2	CHSP1_HUMAN	CARHSP1	Calcium-regulated heat-stable protein 1 	blue	-0.5977312611119512	0.0004805106896281753
Q9Y287	ITM2B_HUMAN	ITM2B	Integral membrane protein 2B 	red	0.5209040940062089	0.0032207749912630543
B4DUD2	B4DUD2_HUMAN	TMBIM1	Protein lifeguard 3 	blue	-0.8249731282628314	0.0003471935197159701
P42025	ACTY_HUMAN	ACTR1B	Beta-centractin 	red	0.2696315699078706	0.025231355221781087
Q8IX12	CCAR1_HUMAN	CCAR1	Cell division cycle and apoptosis regulator protein 1 	red	0.5841917566050476	0.024422501778443222
P29317	EPHA2_HUMAN	EPHA2	Ephrin type-A receptor 2 	blue	-0.29767108627395267	0.019672719192672914
P18085	ARF4_HUMAN	ARF4	ADP-ribosylation factor 4 	blue	-0.5507333201119238	0.001708075731658352
O95071	UBR5_HUMAN	UBR5	E3 ubiquitin-protein ligase UBR5 	blue	-0.3498832887929968	0.012767181503564767
P43686	PRS6B_HUMAN	PSMC4	26S proteasome regulatory subunit 6B 	blue	-0.29279659943111724	0.009608680292424635
P13716	HEM2_HUMAN	ALAD	Delta-aminolevulinic acid dehydratase 	blue	-0.41432203211180685	0.002657423096957052
P53597	SUCA_HUMAN	SUCLG1	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial 	green	-0.18255519614178084	0.006935940487799008
P0DP23	CALM1_HUMAN	CALM1	Calmodulin-1 	blue	-0.2715024649515776	0.027650168808450972
Q96F86	EDC3_HUMAN	EDC3	Enhancer of mRNA-decapping protein 3 	blue	-0.5826703160163227	0.023251212955435748
Q8NCN5	PDPR_HUMAN	PDPR	Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial 	blue	-0.40510107527766337	0.0012060993742704035
P42566	EPS15_HUMAN	EPS15	Epidermal growth factor receptor substrate 15 	red	0.4285727534591999	0.007186338902191918
P51570	GALK1_HUMAN	GALK1	Galactokinase 	blue	-0.5887366319702032	0.014537949531088196
E9PAU2	E9PAU2_HUMAN	RAVER1	Ribonucleoprotein PTB-binding 1 	blue	-0.3724055098698482	0.027529277746367545
H0Y704	H0Y704_HUMAN	ZNF185	Zinc finger protein 185 (Fragment) 	blue	-0.8293806890295983	0.010549737771198425
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1 	blue	-0.3571753292374762	0.026254770282392977
P22694	KAPCB_HUMAN	PRKACB	cAMP-dependent protein kinase catalytic subunit beta 	blue	-0.46156476581662176	0.0019251825676911665
Q9HB90	RRAGC_HUMAN	RRAGC	Ras-related GTP-binding protein C 	blue	-0.42332393011376723	0.0009876305893044193
A0A0A0MS29	A0A0A0MS29_HUMAN	MFF	Mitochondrial fission factor 	red	2.2067388970915207	0.028400846696602488
Q9H2W6	RM46_HUMAN	MRPL46	39S ribosomal protein L46, mitochondrial 	blue	-0.30222750547839716	0.04955045609474148
P53602	MVD1_HUMAN	MVD	Diphosphomevalonate decarboxylase 	blue	-0.44069632512451484	0.0031150554077535786
Q9Y3D0	CIA2B_HUMAN	CIAO2B	Cytosolic iron-sulfur assembly component 2B 	blue	-0.27013082152896395	0.013709513557238918
Q5JXI2	Q5JXI2_HUMAN	FHL1	Four and a half LIM domains protein 1 	blue	-0.5528806901720245	0.0013763166757048808
Q9H773	DCTP1_HUMAN	DCTPP1	dCTP pyrophosphatase 1 	blue	-0.4129143237566666	0.03682806094476534
Q96EY8	MMAB_HUMAN	MMAB	Corrinoid adenosyltransferase 	blue	-0.4295610940289354	0.00933187488956791
Q86UT6	NLRX1_HUMAN	NLRX1	NLR family member X1 	blue	-0.5035064489529955	0.026254770282392977
Q9UHW5	GPN3_HUMAN	GPN3	GPN-loop GTPase 3 	blue	-0.43248461711637987	0.035252563875556225
O14529	CUX2_HUMAN	CUX2	Homeobox protein cut-like 2 	red	0.6636799138611185	0.014568120994963333
Q96SQ9	CP2S1_HUMAN	CYP2S1	Cytochrome P450 2S1 	blue	-0.29378738169318375	0.0030190234834810794
P82921	RT21_HUMAN	MRPS21	28S ribosomal protein S21, mitochondrial 	blue	-0.9689199386698331	0.002261148508024419
Q9BVC6	TM109_HUMAN	TMEM109	Transmembrane protein 109 	blue	-1.2522807261119553	0.0033451175183668875
Q9NQG5	RPR1B_HUMAN	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B 	blue	-0.5844341487197671	0.005166391455300278
P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin 	red	0.722223521392797	0.04215564280884705
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3 	blue	-0.4156605889127878	0.0014307877526259203
Q96HY7	DHTK1_HUMAN	DHTKD1	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial 	blue	-0.5066699643100936	0.03724441011096853
A0A0A0MRJ7	A0A0A0MRJ7_HUMAN	F5	Coagulation factor V 	blue	-0.6109806924742855	0.04790828279912713
Q9H4B7	TBB1_HUMAN	TUBB1	Tubulin beta-1 chain 	red	10.71334212366905	0.006589702236574154
H0YA68	H0YA68_HUMAN	MAN2B2	Alpha-mannosidase (Fragment) 	red	0.9861188962508134	0.009675771902027818
A6NG10	A6NG10_HUMAN	WBP2	WW domain-binding protein 2 	red	1.0026737587646757	0.042189916564759206
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic 	blue	-0.28992921000211425	0.008278977979131404
Q9HAB8	PPCS_HUMAN	PPCS	Phosphopantothenate--cysteine ligase 	blue	-0.5528216761190841	0.007695150938919877
Q24JP5	T132A_HUMAN	TMEM132A	Transmembrane protein 132A 	blue	-0.24359356556265155	0.0009170458622964305
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F 	red	2.302242433246681	0.00020288259421456274
P10586	PTPRF_HUMAN	PTPRF	Receptor-type tyrosine-protein phosphatase F 	red	0.26152013973456434	0.03373971932896885
P24844	MYL9_HUMAN	MYL9	Myosin regulatory light polypeptide 9 	blue	-0.8867047757469546	0.0007978449743954848
Q9UHV9	PFD2_HUMAN	PFDN2	Prefoldin subunit 2 	blue	-0.23463778972311822	0.03371452607791796
Q86VS8	HOOK3_HUMAN	HOOK3	Protein Hook homolog 3 	red	0.5279194954490762	0.00012013735948006746
P60520	GBRL2_HUMAN	GABARAPL2	Gamma-aminobutyric acid receptor-associated protein-like 2 	red	0.7198377843769421	0.04721832941230834
A0A096LPI6	A0A096LPI6_HUMAN	NA	Utp12 domain-containing protein (Fragment) 	blue	-0.3539628576542597	0.003327792407025254
Q9Y6N5	SQOR_HUMAN	SQOR	Sulfide:quinone oxidoreductase, mitochondrial 	blue	-0.3515043219403715	0.0013853199294385965
A0A804HJW5	A0A804HJW5_HUMAN	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial 	blue	-3.1536070609399225	0.04954048770370074
P48735	IDHP_HUMAN	IDH2	Isocitrate dehydrogenase [NADP], mitochondrial 	green	-0.15293526982559236	0.017299815250904474
P78417	GSTO1_HUMAN	GSTO1	Glutathione S-transferase omega-1 	blue	-0.2835273142774355	0.002958635196562144
O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1 	blue	-0.6770260549597626	0.00032153503276319804
Q13459	MYO9B_HUMAN	MYO9B	Unconventional myosin-IXb 	blue	-0.24569894472975484	0.026454077016031502
P04818	TYSY_HUMAN	TYMS	Thymidylate synthase 	blue	-0.3094544124256551	0.025092507100803747
O76054	S14L2_HUMAN	SEC14L2	SEC14-like protein 2 	blue	-0.3241794894638623	0.020778025217326555
Q9UGQ3	GTR6_HUMAN	SLC2A6	Solute carrier family 2, facilitated glucose transporter member 6 	red	0.5692057253287821	0.008922233713117456
Q96KR6	F210B_HUMAN	FAM210B	Protein FAM210B, mitochondrial 	blue	-0.8694004406228171	0.012105768016834105
P61106	RAB14_HUMAN	RAB14	Ras-related protein Rab-14 	blue	-0.2566498793362051	0.02739874526523858
P02768	ALBU_HUMAN	ALB	Albumin 	red	0.35788801410815196	0.02224316757146436
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7 	blue	-0.7196471488334844	0.02613992162119163
Q8WW12	PCNP_HUMAN	PCNP	PEST proteolytic signal-containing nuclear protein 	blue	-0.254091002156116	0.0033479268253429335
P17612	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha 	blue	-0.31808039668341337	0.020916314468216683
P62487	RPB7_HUMAN	POLR2G	DNA-directed RNA polymerase II subunit RPB7 	blue	-0.9017206840889642	0.007877537307832947
P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta 	green	-0.10092956191112634	0.006592266033723923
Q9UHY7	ENOPH_HUMAN	ENOPH1	Enolase-phosphatase E1 	blue	-0.32890994410011487	0.00987940670946198
Q8NBI6	XXLT1_HUMAN	XXYLT1	Xyloside xylosyltransferase 1 	blue	-0.22296919679861205	0.04650759490022332
P08238	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta 	blue	-0.21599215568666352	0.04746781644659877
Q86U28	ISCA2_HUMAN	ISCA2	Iron-sulfur cluster assembly 2 homolog, mitochondrial 	blue	-0.31065593367411637	0.04194148189247316
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial 	blue	-0.38136231929414777	0.029878037429461306
P78362	SRPK2_HUMAN	SRPK2	SRSF protein kinase 2 	red	1.025111850317713	0.026956658613384334
Q01469	FABP5_HUMAN	FABP5	Fatty acid-binding protein 5 	blue	-0.41771317368806393	0.0026136386507351265
Q7L1Q6	BZW1_HUMAN	BZW1	Basic leucine zipper and W2 domain-containing protein 1 	blue	-0.4675868757527013	0.002835465769207659
A0A7I2V646	A0A7I2V646_HUMAN	TBK1	Serine/threonine-protein kinase TBK1 	blue	-0.28397614041530517	0.00017348529675878052
P61758	PFD3_HUMAN	VBP1	Prefoldin subunit 3 	blue	-0.498417297442586	0.013368098125994104
Q9BT73	PSMG3_HUMAN	PSMG3	Proteasome assembly chaperone 3 	blue	-0.46377315626478044	0.000494726839787772
Q5STZ8	Q5STZ8_HUMAN	ABCF1	ATP-binding cassette sub-family F member 1 	blue	-0.25570121697964154	0.00646078519795646
O00311	CDC7_HUMAN	CDC7	Cell division cycle 7-related protein kinase 	blue	-0.5173230148614998	0.022822169203510406
O60353	FZD6_HUMAN	FZD6	Frizzled-6 	red	0.7787997877967676	0.007591318583628673
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1 	red	2.452877287803906	0.008921121516916966
Q8NI08	NCOA7_HUMAN	NCOA7	Nuclear receptor coactivator 7 	blue	-0.4146121548981867	0.024461204173231717
P00846	ATP6_HUMAN	MT-ATP6	ATP synthase subunit a 	blue	-2.073142975217115	0.00012013735948006746
Q5TCS8	KAD9_HUMAN	AK9	Adenylate kinase 9 	red	0.3806748248307166	0.004634251946817802
O15021	MAST4_HUMAN	MAST4	Microtubule-associated serine/threonine-protein kinase 4 	red	0.5220847748217139	0.022937952312223016
E7EN19	E7EN19_HUMAN	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4 	red	2.045705578787272	0.021969035325829427
O75964	ATP5L_HUMAN	ATP5MG	ATP synthase subunit g, mitochondrial 	blue	-0.4327056839891448	0.0017710221479042669
A8K7Q2	A8K7Q2_HUMAN	HSPA8	Heat shock cognate 71 kDa protein 	blue	-0.517825309411112	0.00301113797157113
Q02880	TOP2B_HUMAN	TOP2B	DNA topoisomerase 2-beta 	blue	-0.44199239969590565	0.0030427226012817794
